run,runtime,persuaded,assertedArgumentsCount,assertedArguments,inputModel
64,00:00:00.024,0,18,["b24"|"b16"|"c7"|"b3"|"c17"|"b6"|"b11"|"c12"|"c2"|"c22"|"b23"|"b15"|"c21"|"c18"|"c16"|"c14"|"c13"|"c8"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
65,00:00:00.019,0,16,["b1"|"c24"|"c13"|"c10"|"b4"|"c9"|"c14"|"b19"|"c11"|"b8"|"c21"|"c23"|"c1"|"c17"|"b18"|"c19"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
66,00:00:00.018,0,15,["b16"|"b18"|"c12"|"b8"|"c1"|"c18"|"b14"|"c7"|"b12"|"b3"|"c2"|"b20"|"c0"|"c3"|"c20"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
67,00:00:00.029,0,45,["b21"|"b8"|"c18"|"c13"|"c14"|"c1"|"b11"|"c19"|"b20"|"b12"|"b14"|"c9"|"c6"|"b9"|"b4"|"b22"|"c2"|"b17"|"b1"|"c16"|"c3"|"a"|"b15"|"c21"|"b19"|"c12"|"c23"|"c11"|"c8"|"c5"|"c7"|"c24"|"b16"|"b18"|"c0"|"b5"|"b13"|"c4"|"b0"|"c10"|"b6"|"b24"|"b23"|"b2"|"c20"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
68,00:00:00.032,0,43,["b7"|"b16"|"a"|"c6"|"c16"|"b23"|"b11"|"b10"|"b6"|"c5"|"c9"|"c14"|"c24"|"b19"|"c3"|"b8"|"c12"|"b3"|"c7"|"c0"|"c8"|"c21"|"c20"|"b9"|"c18"|"b5"|"b0"|"b24"|"b17"|"b18"|"c10"|"b21"|"b1"|"b22"|"c13"|"c1"|"c2"|"c15"|"c11"|"c4"|"c23"|"b13"|"b15"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
69,00:00:00.026,0,15,["b2"|"c19"|"b12"|"c9"|"c13"|"b20"|"c0"|"b13"|"c18"|"b15"|"b8"|"c20"|"c24"|"b21"|"c22"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
70,00:00:00.022,0,42,["b4"|"c0"|"b15"|"c6"|"c24"|"c21"|"c1"|"c17"|"c18"|"c19"|"c12"|"b16"|"b1"|"b13"|"b5"|"b17"|"c3"|"c7"|"b7"|"c2"|"c5"|"b23"|"a"|"c22"|"b24"|"b6"|"b3"|"b21"|"c13"|"b20"|"b9"|"b10"|"c15"|"b18"|"b2"|"c11"|"b0"|"b11"|"b12"|"c8"|"c9"|"c20"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
71,00:00:00.021,0,0,[],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
72,00:00:00.025,0,0,[],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
73,00:00:00.032,0,33,["c0"|"c2"|"b2"|"c24"|"b1"|"b8"|"c6"|"c13"|"c17"|"c22"|"b16"|"c10"|"b22"|"c1"|"b15"|"b4"|"b12"|"b6"|"b10"|"c9"|"b0"|"c5"|"b11"|"b7"|"c7"|"b23"|"c15"|"c23"|"b21"|"b9"|"c18"|"b17"|"b5"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
74,00:00:00.028,0,0,[],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
75,00:00:00.027,0,14,["b7"|"c3"|"c15"|"b19"|"b16"|"c10"|"b13"|"b20"|"c18"|"b4"|"c19"|"b3"|"c6"|"b10"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
76,00:00:00.031,0,41,["b0"|"b17"|"a"|"b19"|"b16"|"c5"|"b24"|"b12"|"c23"|"b22"|"c16"|"c13"|"c9"|"c10"|"b14"|"b18"|"c18"|"b8"|"c0"|"c1"|"c8"|"b2"|"b13"|"b7"|"b6"|"b23"|"b21"|"c15"|"b20"|"c17"|"c20"|"b1"|"c2"|"b11"|"c11"|"c3"|"c6"|"c24"|"b4"|"c19"|"c12"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
77,00:00:00.030,0,26,["b17"|"b19"|"c21"|"c7"|"b1"|"b22"|"c13"|"b21"|"b11"|"c12"|"b13"|"b14"|"b12"|"c6"|"b8"|"b6"|"c0"|"c9"|"a"|"b5"|"c16"|"c15"|"c2"|"b24"|"b9"|"c10"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
