run,runtime,persuaded,assertedArgumentsCount,assertedArguments,inputModel
38,00:00:00.157,0,24,["a35"|"a49"|"a38"|"a41"|"a45"|"a"|"a37"|"a9"|"a6"|"a16"|"a43"|"a40"|"a15"|"a13"|"a46"|"a24"|"a5"|"a7"|"a2"|"a42"|"a22"|"a33"|"a8"|"a18"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
39,00:00:00.169,0,23,["a49"|"a15"|"a25"|"a1"|"a3"|"a5"|"a41"|"a6"|"a39"|"a45"|"a28"|"a11"|"a17"|"a9"|"a26"|"a19"|"a12"|"a37"|"a2"|"a33"|"a44"|"a42"|"a27"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
40,00:00:00.163,1,23,["a11"|"a42"|"a36"|"a27"|"a45"|"a20"|"a3"|"a24"|"a51"|"a22"|"a10"|"a18"|"a9"|"a"|"a31"|"a44"|"a5"|"a25"|"a32"|"a17"|"a47"|"a2"|"a37"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
41,00:00:00.159,0,43,["a45"|"a10"|"a51"|"a47"|"a"|"a14"|"a27"|"a39"|"a13"|"a6"|"a26"|"a46"|"a23"|"a28"|"a49"|"a21"|"a22"|"a42"|"a38"|"a24"|"a1"|"a16"|"a35"|"a25"|"a34"|"a48"|"a30"|"a2"|"a33"|"a44"|"a36"|"a50"|"a17"|"a5"|"a37"|"a31"|"a11"|"a12"|"a4"|"a41"|"a40"|"a18"|"a7"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
42,00:00:00.157,0,27,["a50"|"a13"|"a25"|"a42"|"a30"|"a43"|"a2"|"a51"|"a23"|"a7"|"a18"|"a8"|"a27"|"a"|"a14"|"a15"|"a10"|"a1"|"a12"|"a24"|"a5"|"a4"|"a34"|"a20"|"a44"|"a37"|"a47"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
43,00:00:00.156,1,17,["a11"|"a25"|"a10"|"a47"|"a21"|"a32"|"a9"|"a38"|"a50"|"a43"|"a30"|"a5"|"a26"|"a2"|"a13"|"a3"|"a29"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
44,00:00:00.156,1,10,["a13"|"a38"|"a41"|"a9"|"a19"|"a39"|"a43"|"a24"|"a16"|"a8"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
45,00:00:00.155,1,8,["a23"|"a45"|"a14"|"a32"|"a35"|"a17"|"a36"|"a13"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
46,00:00:00.162,0,31,["a6"|"a28"|"a43"|"a9"|"a13"|"a33"|"a7"|"a31"|"a22"|"a50"|"a27"|"a32"|"a10"|"a17"|"a24"|"a51"|"a2"|"a39"|"a29"|"a14"|"a1"|"a37"|"a4"|"a47"|"a35"|"a"|"a38"|"a49"|"a44"|"a21"|"a30"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
47,00:00:00.165,0,9,["a38"|"a"|"a46"|"a48"|"a49"|"a19"|"a18"|"a16"|"a40"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
