run,runtime,persuaded,assertedArgumentsCount,assertedArguments,inputModel
49,00:00:00.003,2,8,["b11"|"b23"|"c17"|"c18"|"b1"|"b3"|"c1"|"c2"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
50,00:00:00.003,0,2,["b14"|"b11"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
51,00:00:00.003,2,18,["b14"|"c19"|"b24"|"c13"|"b23"|"b6"|"b8"|"c3"|"c12"|"b11"|"b16"|"c22"|"c4"|"c14"|"b20"|"b1"|"b9"|"b4"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
52,00:00:00.004,0,5,["c1"|"c24"|"b23"|"b18"|"c23"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
53,00:00:00.004,2,14,["c3"|"b21"|"b0"|"c20"|"b18"|"c17"|"b1"|"c6"|"b22"|"b24"|"b6"|"c22"|"c21"|"c19"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
54,00:00:00.006,0,49,["b24"|"b15"|"c11"|"b14"|"b10"|"b11"|"c15"|"b23"|"c14"|"c20"|"b9"|"b13"|"b12"|"b3"|"c9"|"c16"|"b0"|"c13"|"a"|"b8"|"c24"|"b18"|"b7"|"c7"|"c21"|"c6"|"c23"|"c0"|"c5"|"c2"|"b5"|"b16"|"b1"|"c4"|"c18"|"c1"|"c22"|"b2"|"b22"|"c8"|"c17"|"c3"|"c19"|"b4"|"b6"|"c12"|"b17"|"b19"|"b20"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
55,00:00:00.005,0,44,["c23"|"b12"|"b17"|"b20"|"c9"|"c15"|"b4"|"c14"|"c20"|"c2"|"c18"|"c7"|"b15"|"b13"|"b10"|"c19"|"c22"|"b18"|"b5"|"b0"|"c8"|"c0"|"b6"|"b9"|"c12"|"c1"|"c13"|"b16"|"c6"|"b3"|"b19"|"b21"|"b22"|"b14"|"c3"|"c11"|"c4"|"b1"|"c24"|"c5"|"b2"|"c16"|"c10"|"b23"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
56,00:00:00.005,0,39,["c8"|"c9"|"c0"|"b17"|"b13"|"b11"|"b21"|"c2"|"c19"|"b7"|"c5"|"b16"|"c18"|"c17"|"b19"|"c1"|"b10"|"c7"|"c14"|"c3"|"c16"|"b15"|"c10"|"b5"|"c12"|"c23"|"b4"|"c21"|"b12"|"c6"|"b8"|"b3"|"b24"|"b18"|"a"|"c20"|"b22"|"b14"|"c13"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
57,00:00:00.005,2,1,["b1"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
58,00:00:00.004,0,7,["c18"|"b3"|"b8"|"b6"|"c24"|"b0"|"b16"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
59,00:00:00.003,0,6,["c9"|"c18"|"b19"|"c23"|"c2"|"b5"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
60,00:00:00.004,0,4,["b6"|"b9"|"b0"|"b14"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
61,00:00:00.004,0,13,["b20"|"c4"|"c17"|"c19"|"b8"|"c3"|"b16"|"c0"|"c22"|"b0"|"c5"|"c24"|"b5"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
62,00:00:00.005,0,10,["c4"|"b0"|"b21"|"b20"|"a"|"c21"|"b6"|"c13"|"b5"|"c24"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
63,00:00:00.005,0,45,["c23"|"c0"|"b13"|"b3"|"c9"|"c4"|"b16"|"c3"|"b11"|"c7"|"c16"|"b8"|"c18"|"c8"|"c1"|"b12"|"c17"|"b7"|"b10"|"b19"|"c6"|"b15"|"b9"|"b6"|"b21"|"c12"|"c15"|"c24"|"c21"|"a"|"c19"|"c11"|"b24"|"b17"|"b20"|"c5"|"b5"|"b23"|"b18"|"b14"|"c22"|"c20"|"b4"|"b22"|"c10"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
64,00:00:00.005,0,23,["b4"|"b22"|"b8"|"c21"|"c2"|"c17"|"b19"|"b13"|"b9"|"c15"|"b0"|"c10"|"c18"|"b12"|"c1"|"b24"|"a"|"c16"|"c23"|"b17"|"c20"|"c22"|"b16"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
65,00:00:00.004,2,27,["c2"|"c13"|"b15"|"b10"|"c19"|"b3"|"c12"|"b7"|"c22"|"b11"|"b6"|"c3"|"c5"|"c8"|"b20"|"c18"|"c4"|"c10"|"c14"|"b5"|"b19"|"b12"|"c15"|"b1"|"c23"|"b9"|"b8"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
